ID,Text,Sentiment
N98,So my sister posted my NEW iPhone six to me but forgot to use the box and bubble wrap?????guess I'm not getting a new one :(,negative
N99,@anildenizzz Iphone 4 :(,negative
N100,waiting for my iPhone 6s :( http://t.co/iiDEiMeAtr,negative
N101,"@RogersHelps Just upgraded my phone to a iphone 6s, yay!  No more Visual Voicemail available for the iphones anymore as an addon? :(",negative
N102,Done exams but missed my iPhone delivery :(,negative
N103,@evan_forst I have to turn it back in to get the new iPhone. :( I would give you my old phone but the screen doesn't work at all,negative
N104,Be wary - my iphone hasn't been able to set up at all :( @NadirTekarli,negative
N105,"You'd think that after dropping nearly $1000, #Apple would have a bit better quality control over their #iPhone6s. Looks like refurb :(",negative
N106,Wish I had gotten the iPhone 6 Plus rather than the 6 :(,negative
N107,@ipast0re can i have new one? :( got new iPhone 6s,negative
N108,i want the new iphone 6s :(,negative
N109,As if my sister got the iPhone 6s today :(,negative
N110,Why is the new iPhone update telling me to find friends? Fuck off I have friends :(,negative
N111,"Silly me. Here I thought @sprint's iPhone ""for life"" plan (which we have) was the same as ""forever"" plan. So no upgrade to 6s for us. :(",negative
N112,"@gemswinc Hi all~Winter storm here, snowing.Having iPhone problems :( no pic @MoreThymeBlog @slines @sandarwai @Jade44_4 @ABlotz @WebGrrrrl",negative
N113,@paigecalvert1 how come you're being sick? :( I'm okay just tired from iPhone launch!,negative
N114,The new iphone came out today but mine isn't being shipped until Wednesday :( :( :(,negative
N115,@LaurenJauregui Can you buy me an iphone 6s plus? i am poor :(,negative
N116,@Carrottstickz dang it i dont have an iphone! :(,negative
N117,@verizon wants me to buy the new iPhone but I'm wanting a new Xperia :(,negative
N118,iphone 6s status: itunes crash looping :(,negative
N119,I want the iPhone 6s :(,negative
N120,my phone is literally stuck like this thanks to iOS9 wish I stayed with iOS7 :( http://t.co/4PXvRsRzEF,negative
N121,my friend got the pink IPhone 6s and it's so beautiful :(,negative
N122,Very tempted to buy this iPhone 6s while I'm at sprint. :(,negative
N123,"@iPhoneinCanada Despite pre-ordering right after sales went live, my iPhone only NOW just got scanned in Ontario. :(",negative
N124,Yay. Now to wait for it to finish syncing :( can't wait to test the 4K #iPhone6s #arrived #yay #4k,negative
N125,@Eviltig1: Yay. Now to wait for it to finish syncing :( can't wait to test the 4K #iPhone6s #arrived #yay #4k http://t.co/zabYe3YK2Z,negative
N126,"Screwed by AT&amp;T. 

Went in at reserved time. Waited. And told @Apple Store no longer sells iPhone at 2 year contract price. 

:( @tim_cook",negative
N127,@VodafoneQatar hey ! My iPhone 6 screen got broken :( can I just exchange it with new one and pay the difference ?,negative
N128,i miss having an iPhone :(,negative
N129,still waiting on the iPhone 6s :(,negative
N130,@Goons_TXT I use an iPhone :(,negative
N131,@LadyGagaNowNet video won't play on iPhone :(,negative
N132,i want the iPhone 6s :(,negative
N133,@storiesupport yeah I'm on ios9 and have removed all photos. Can't upload :(,negative
N134,I wish he would have pre-ordered my #rosegold #iPhone6s :(,negative
N135,"@JohnLegere @TMobileHelp over 700 people watched live, my iPhone unboxing. Too bad I got sent the wrong phone :( http://t.co/XJhbU5fI9o",negative
N136,literally devastated that the iPhone 6s costs the exact same as my 6 :(,negative
N137,"@arkaeya no, I'm poor :(

They get the iPhone. I get yelled at.",negative
N138,if anyone finds my blue 5c iPhone please return!! :(,negative
N139,:( I've never wanted anything so bad than how I want the iPhone 6s god why me please i promise i won't let my friends touch it omg pls,negative
N140,ill kiss you if you bring an iphone 5 charger to bk :(,negative
N141,@simple Hey! I need your help :( trying to purchase na iPhone but my card was declined for no reason. I called and the message just said,negative
N142,not happy with the sound quality on my new iPhone 6S 128. not sure what to do :(,negative
N143,"Too much hype over an iPhone :(
Go and hang out in Brixton tonight, at least you know what your getting for your money ;)",negative
N144,@generateapp app crashes on launch on iPhone 6s iOS 9.0.1 :(,negative
N145,@swaveyaye_ my iphone like glitched &amp; it turned to home &amp; it's not there anymore I looked lol :(,negative
N146,time to spend the next 10 days watching iphone 6s videos until mine comes :(,negative
N147,":( just broke my iphone 6+ :( 

Inna Li Allah",negative
N148,:( just broke my iphone 6+ :( Inna Li Allah,negative
N149,Why can't I get an iPhone 6s? :(,negative
N150,"forced to trade phones with my mom, now I have a cracked ass iPhone 6plus. help :(",negative
N151,Received #iPhone6sOnO2 but put on the wrong tariff by @O2. Told 2 return #iPhone6s &amp; re-order!!! #Serously.!!! :( #TerribleCustomerService,negative
N152,Been without my #iPhone for a few weeks so have been off #socialmedia too :( Not the same tweeting &amp; posting on a laptop! #lovemyphone,negative
N153,I really want the rose gold iPhone 6s :(,negative
N154,What was the point of preordering the new iPhone 6s if I have to wait until Monday now :( @TELUSsupport,negative
N155,Someone come bring me a iPhone charger PLS :(,negative
N156,#iphone6s First day! I envy my sister! Why can't they release it here simultaneously :( http://t.co/ULpc9U3tLt,negative
N157,You cant buy an iPhone with the Upgrade Program without activating a line. Learnt that after 45min in line. :(,negative
N158,How @AlmightyJellybn tells me my iPhone has arrived yet again 4000 Km away :( http://t.co/tNlsY6YIsV,negative
N159,@TypicalReviews @TypicalGamer i wouldn't mind having I'm still stuck on the iPhone 4 cant afford to upgrade :(,negative
N160,I just want the rose gold iPhone 6s :(,negative
N161,"@Mymummyspam I recorded on my iPhone, moved it to the iPad and edited on iMovie. :) I tried windows movie but it's crap. I want a Mac :( X",negative
N162,@joyboy96 like a one plus? iphone really isn't that great :(,negative
N163,"today @Sia's new single, apple #iPhone6s, @katyperry in SaoPaulo, @NintendoAmerica #ACHHD launch. its my b-day, I have $ for none of them :(",negative
N164,Ugh I wanna go see if I can get the iPhone 6S plus today but I don't think I'm eligible rn :(,negative
N165,"Hello sir, trying to upgrade my GF iphone 6plus to the 6s plus but sales dept said we need to wait another year :(",negative
N166,"i honestly don't even really want the new iPhone, but my current one is dying sooooooo.. :(",negative
N167,How come the iOS9 update crashes my apps when I open them and idk how to turn my text and call vibrations back on? :( @AppleMusic,negative
N168,@Starbucks Is Mobile Call Ahead ordering only available on the iPhone 6? Everyone has it but me and it's the worst :(,negative
N169,I want the new iPhone :( could have it right now I'm at work but I can't pay that much,negative
N170,I've been waiting to pick up my new iPhone all day but carphone warehouse haven't ran me :(,negative
N171,Okay got a iPhone 5c cause my 6 broke :(,negative
N172,@bemeapp any reports of Beme not working on iPhone 6s? Not working properly for me. It doesn't stop after 4 seconds :(,negative
N173,"So im dumb and had BETA software on my old iPhone, so now I have to update my new phone to BETA software so I can transfer my settings. :(",negative
N174,"Why does UPS not specify what time end of day delivery is: https://t.co/avVdfdzniH

my iPhone :(",negative
N175,I'm trying to save money but I really want the new iPhone :(,negative
N176,@TMobileHelp im considering switching back to iphone because my lg was impossible to get fixed :(,negative
N177,"I really want a rose gold iPhone, can't upgrade till March though :(",negative
N178,My only regret about switching from iPhone to Android is losing the flappy bird app :(,negative
N179,I really want the new iPhone that's rose gold it's meant for me :(,negative
N180,@5ophs want one! I'm having to make do with Jordan's old iPhone 5 for the foreseeable future :( enjoy yours! X,negative
N181,@ATTCares Not charge me $200 for my smashed iPhone on the Next program just because I forgot to add insurance. :(,negative
N182,anthony is so damn lucky because he's getting the iPhone 6s :(,negative
N183,Really wish I could've gotten the space grey iPhone :(,negative
N184,that's a craptastic start to the weekend. shattering my iphone :( you're rubbing off on me @MacDerDer,negative
N185,"@MioGlobal help now my fuse is saying NO mem when try to start workout :( still can't synch as awaiting your ios9 update, anything I can do?",negative
N186,@RickyPDillon  give me an iPhone :( like I have an android lol,negative
N187,tfw you have an iPhone 6 but want the iPhone 6s :(,negative
N188,my cousin just got two iPhone 6s's delivered to work and I want one so bad :(,negative
N189,I want the iPhone 6s :(,negative
N190,does anyone wanna give me there old iphone bc this sucks :( :( :(,negative
N191,Please @RickyPDillon give me your iPhone  my phone is a shit :(,negative
N192,@MaycenQuinn I have an unemployed iPhone :(,negative
N193,I think @periscopeco is broke in iphone 6s!!!! This is terrible. No sound on any of my attempts to broadcast. :(,negative
N194,People need to stop getting the new iPhone and making me sad :(,negative
N195,@tomxmitchell i also want an iphone 6 :(,negative
N196,@tomxmitchell I WANT AN IPHONE 6S TOO OKAY :(,negative
N197,do i seriously have to wait for xmas for the iphone 6s rose gold :( soooo pretttyyyyy #iwant #firstworldpro.,negative
N198,@hestiahdruid at least you are home. My new iPhone 6s arrived and I'm at work for 30 more mins! Then 30-45 min drive home. :(,negative
N199,@ElvisAmbe Hahaha I guess its only for iPhone user :(,negative
N200,Gonna get the iPhone in 2 months :(,negative
N201,@periscopehelp has anyone reported problems on new iPhone? I have no sound when I broadcast. :(,negative
N202,it was nice having the latest iphone while it lasted haha :(,negative
N203,"Getting grrr at iTunes.. Backed up iPhone 5S, got iPhone 6S, tried to move everything onto new phone but nope its not having it :(",negative
N204,my sister just got the iPhone 6s in the rose color :(,negative
N205,My new iPhone just made it to my house and I'm already at the airport :(,negative
N206,It's been 2 hours...where is my iPhone 6s :(,negative
N207,@Krazyrayray so lucky ! My iPhone broke and my dad got me an android ! :(,negative
N208,i hate my iPhone 5s.. i want the new iPhone :(,negative
N209,hey I want the iPhone 6s :(,negative
N210,"@TMobileHelp True, I could have ordered from @att as well. First time I missed an iPhone launch since the beginning :(",negative
N211,Was hoping to get my new iphone today but apparently only a sticker has been made. Don't even know when to expect it! :( @UPS @sprint,negative
N212,Shattered my phone today.. :( headed to get the iPhone 6s :),negative
N213,@TMobile I went tried to do the upgrade. But there was a glitch in the system and now I have to wait until Monday to get my iPhone :(,negative
N214,i want the iphone 6s :(,negative
N215,Got the new iPhone 6S definitely  enjoying this new phone. Went from a 6 plus though so I'm missing my screen :(,negative
N216,i want the new iphone :(,negative
N217,"NOO! I just called the @TMobile near my house, and they don't have the iPhone 6s Plus!!! DX I'm very sad now... :( I wanted to use JoD!",negative
N218,"my iphone 6s has arrived, but i'm 55 miles or 2 hours of traffic away from it :(",negative
N219,@waze i upgraded my iphone 5S to IOS9.1. waze no longer works on my pioneer appradio 3SphDa210 car head unit.pls help.. It doesn't mirror :(,negative
N220,Appointments to get an iphone at 5th ave just meant a spot in 1 hour line to go inside :(,negative
N221,That sad moment when @andrewbazzi cant gift you #BringYouHome because I have no iPhone and I'm broke :(,negative
N222,@sprintcare How can I activate my iPhone? http://t.co/shmULVqg1Y is down :(,negative
N223,@MeganStael @TravusHertl okay yeah its only for iphone 6 then :(,negative
N224,"Well, my ol' iPhone officially sucks. The @goodreads app no longer works on whatever dinosaur iOS I've been left behind on :(",negative
N225,I want the rose gold iphone :(,negative
N226,"That moment when you get your new iPhone 6s Plus, and it's dead on arrival. :(",negative
N227,I've had my iPhone 6 since January and I'm already missing half the screen I don't think I'll make it until the end of my contract :(,negative
N228,I guess if you're a baseball player you actually get your iPhone 6s on the day it comes out. :( @MWBII  https://t.co/ntLYlEeaUX,negative
N229,I want the iPhone 6s Plus :(,negative
N230,I want the iPhone 6s :(,negative
N231,So many people have already the iphone 6s... I'm so jealous :(,negative
N232,"My new iPhone arrived!

at the wrong address

2200 miles away.
f
:(",negative
N233,"My new iPhone arrived!

at the wrong address

2200 miles away

:(",negative
N234,i want iphone 6 so badddd :(,negative
N235,i need my iphone 6s already :(,negative
N236,The new iPhone is nice and everything but its a bit big for my hands :( #firstworldproblems,negative
N237,@rgay aww :( when I first got an iPhone i couldn't figure out how to put the SIM card in. For like TWO DAYS.,negative
N238,"The one thing I miss about my iPhone is battery life. If this Nexus 6 isn't hotter than the sun, it's dead :(",negative
N239,@LOHANTHONY um hi send me a lot of love my iphone got stolen today :(,negative
N240,@sprintcare I cannot activate a new iPhone. I can't believe that Sprint did not anticipate this. :(,negative
N241,@TMobileHelp @TMobile @JohnLegere T-Mobile order system screwed me over...no iPhone for me. Should have gone with AT&amp;T or the others :(,negative
N242,I'm gonna have to sell all my cute iPhone 5 cases when I upgrade to a 6s :(,negative
N243,Tricia da spoiled ass I gotta wait a week 4 my iPhone 6s :(,negative
N244,@DarrenCriss Why an app that's only availale on iTunes? Not everyone has an iPhone or iPad :(,negative
N245,"Has anyone noticed a problem with iOS9 and the ""~"" general sibling combinator selector? We have something that suddenly no longer works. :(",negative
N246,Everyone getting the iPhone 6s :(,negative
N247,I want the new iPhone :(,negative
N248,iPhone 4s doesn't have the new emojis :( http://t.co/8b2a9ZL3ZS,negative
N249,Want the iPhone 6s :(,negative
N250,Super sad because my iPhone 6s+ never got here :(,negative
N251,"I'm not getting the iPhone 6s Plus until the end of October, nor the gold MacBook or the Apple Watch until December :(",negative
N252,My student is getting an iPhone 6s and she's only 8 wtf :(,negative
N253,This new iphone is lame :( lol,negative
N254,My sister got the new iPhone :(,negative
N255,@akaDazed Damn lucky ass people with the iPhone 6S Plus... I still my 6 plus till my contract. I want that 4K SO BADLY! :(,negative
N256,The difference in weight between #iPhone6 and #iPhone6S is huge! 6S feels 2x heavier :(,negative
N257,I just got the iPhone 6 and I want the 6s :(,negative
N258,moved this Steve Urkel sticker from my iPhone 5s to my iPhone 6s and the arm fell off :(,negative
N259,I just reset my whole iPhone :( lost all my pictures ,negative
N260,Very disappointed in @TMobile . They sent iPhone 6s instead of plus. Spoke with support which helped. First time no iPhone on launch day :(,negative
N261,@loamlife The iPhone version 'doesn't have' puzzles :(,negative
N262,Playing with the new iPhone 6S in rose gold for review. Soooo... can I keep this forever? :( http://t.co/3QZT2zDTiX,negative
N263,"I need an iPhone to be happy until then , :(",negative
N264,I want the iPhone 6s :(,negative
N265,No iPhone for me today. Delivery says 9/25 but its 9pm so i doubt its coming. :( sad panda @TMobile @TMobileHelp,negative
N266,:( no iPhone delivery from @UPSHelp,negative
N267,Idk if I should get the gold or black iPhone :(,negative
N268,wow someone bring me an iPhone 6 charger my phone at 3% and I forgot mine in my moms car :(,negative
N269,wanting the iPhone 6s but I already got the 6 plus fuck I want that phone :(,negative
N270,"Omgg, why cant i have the iphone 6s rose gold!!! 
Oh yea because im brokee... :( 
#brokepeopleproblems",negative
N271,iPhone 5s :( need a upgrade tf https://t.co/FJUcNe28zI,negative
N272,aw man ios9 doesn't let me hide folders anymore :(,negative
N273,Spotify on iphone is bay cunt tho :(,negative
N274,#YouKnowWhatDude I just shattered my iPhone screen :( sad face,negative
N275,I want the new iPhone :(,negative
N276,How do I get music from my iCloud library off my iPhone :(,negative
N277,All of San Antonio is out of the iPhone 6 Plus S ... I'm so sad bc I wanted to get mine today :(,negative
N278,"They didn't have the iPhone 6s Plus, they just had the regular iPhone 6s. :(",negative
N279,@Plantronics does the BackBeat Fit not work with iPhone 6s yet?! IF NOT I'M SO UPSET :( #cantrunwithoutmusic,negative
N280,Unboxing Every iPhone 6s / 6s Plus ponche envidia :(  http://t.co/7sEmy3XA9L,negative
N281,My iPhone needs to hurry up and come in :(,negative
N282,"@tmobilehelp all three phones are iPhone 5S running iOS 8.3. WiFi FaceTime calls have no issues. However, FaceTime over cellular doesn't :(",negative
N283,"Apple iPhone 6s may be out, along with iOS 9.1 beta 2 and watchOS 2 but developers are lagging behind in keeping their Apps up to date! :(",negative
N284,RIP IPHONE :(,negative
N285,I got a new phone...Its hard going from iphone to android :(,negative
N286,The rose gold iPhone not even all that pink like I thought :(,negative
N287,"@ausidineo_ lol, lies twitter. :( remember the iPhone thing.",negative
N288,need a new iPhone asap :(,negative
N289,goodbye iphone 4 :(,negative
N290,my iPhone is at home just waiting for me to use it :(,negative
N291,Wasted so much time trying to buy my iPhone 6s :(,negative
N292,Shout out to everyone that has a iPhone 5c you're a trooper for dealing with this crap :(,negative
N293,"does anyone make Sheo/Shai Vine edits with a phone that isn't iPhone? if so, how do you do it? :(",negative
N294,So my iphone isn't working... I can't open any apps/use the touch screen at all. :(,negative
N295,I basically am gunna lose this account bc I got an iPhone but I can't remember my pw to set login there so goodbye everyone. :(,negative
N296,"@rana_rdesigns Well, the first scope I did with the RUSH tunes recorded to my iPhone as well. I just can't see the comments. :( But I'll 1/2",negative
N297,but im not ready to let go of my iphone 5 bc not ready for the ugly ass emojis :(,negative
N298,Got the rose gold iPhone and it's actually true to the color. I thought it would be more pink  :(,negative
N299,@MacRumors @hsumra I cant ever get Touch ID on my iPhone 6 Plus to work within 5 tries 90% of the time. :(,negative
N300,#iphone or #android? I want a new phone :(,negative
N301,The rose gold iPhone doesn't even look rose gold :( that's just straight up pink,negative
N302,I want an iPhone 6s :(,negative
N303,Someone pls bring me a iPhone 6 charger I left mine at my moms :(,negative
N304,Saddens me to get a case for my iphone 6s its so nice without one :( #Apple #Iphone6s #iphone6scase,negative
N305,"My iPhone has been lonely at my house for hours.
I'm not there :(",negative
N306,@ashleymegannn I wish :( my iPhone broke. And probably in a few weeks. I'm coming for work since I'm a district manager now.,negative
N307,"My bf said I wasn't really a ""girl"" So I got a pink iPhone. HA SHOWED HIM. Oh wait. They call it ""bro's gold"" now :( http://t.co/PJ5OXj7M5k",negative
N308,My iphone is glitching! :(,negative
N309,"@VZWSupport my bf has an iPhone 6s with mobile hotspot included in his plan, but can't activate it. tried on both computer and phone :(",negative
N310,@UPS Where is my iPhone? Apple should of went with FedEx. :(,negative
N311,kinda wanna sell my iPhone 6 and get the 6s but also dont wanna go through the trouble :(,negative
N312,Montse is getting her iPhone sooner than me :( she made a good choice by getting the Champagne/Gold color one.,negative
N313,I want the iPhone 6S :(,negative
N314,@prime_31 @glassbottommeg I'm finding 3d touch on the iPhone 6s to be underwhelming. Doesn't feel like it's at my finger. :(,negative
N315,@khloekardashian i really really reallllllly wish i could watch the livestream! Its never ever gonna work unless i buy an iPhone :(,negative
N316,So cant play with my iPhone 6s tonight :( Sending the back to Verizon then going to Costco and getting the $100 rebate.,negative
N317,So cant play with my iPhone 6s tonight :( Sending them back to Verizon then going to Costco and getting the $100 rebate.,negative
N318,now I want the iPhone 6s :(,negative
N319,@jaime_downs I miss that iPhone! :(,negative
N320,I just want my new iPhone already :( wish TMobile wouldn't have messed up my pre-order,negative
N321,I thought that the iPhone 6s was going to be big but it's so small :( But the iPhone 6s plus look so good it's going to be in Stock november,negative
N322,okay Iphone 6s okay :(,negative
N323,I want an iphone 6s :(,negative
N324,@iCrackUriDevice I can't log in cause I don't have a iPhone :(,negative
N325,I want the rose gold iPhone :(,negative
N326,I want the rose gold iPhone :(,negative
N327,@unica_corpuz My iPhone got sick  :(,negative
N328,"@TypicalReviews  I have samsung galaxy s duos , it's a shi* . so I very need Iphone 6s :( ;) :D",negative
N329,Actually have enough to buy an iphone 6s but i gotta wait till after christmas... i need a good camera on my phone :(,negative
N330,@tim_cook I feel my iPhone like a Windows vista :(,negative
N331,When the uber driver doesn't have an iPhone charger :(,negative
N332,@igyaan when will u post iphone 6s unboxing video. Waiting ?? :(,negative
N333,I NEED the rose gold iPhone 6s :( pls,negative
N334,"My iPhone 6s isnt activating :( 
@ATTCares",negative
N335,I want an iphone 6s :( anyone listening. *coughs out loud*,negative
N336,Missing my iPhone :(,negative
N337,Hm no i want the brand new iphone 6s :(  https://t.co/bU4VXHH9TT,negative
N338,"Everybody on @lifehacker ""this is how I work"" series uses an iPhone :(",negative
N339,my phone is so slow bc of ios9 :(,negative
N340,@Cita_18 nothing yet lol but I want my new iPhone already :(,negative
N341,finally got my iPhone but theres no more puke rainbows.........  :(,negative
N342,@MODadBodAnon you don't have an iPhone :(,negative
N343,@iCrackUriDevice i dont have an iphone to get the app :(,negative
N344,@leiahenders_ I dont have an iPhone anymore :( lemme dm you x,negative
N345,@samITFC It seems a lot bigger ha! Noticed the sms bug I was having on my 5S since updating to iOS9 is still there :(,negative
N346,@VixenAria iPhone 5 and the front screen is messed up so I'm waiting for the package next week so I can fix it and use it again :(,negative
N347,@ugiveawaybase The link in ur bio doesn't work bro. :(  i really want to win the iPhone 6 plus..,negative
N348,HAHAHAHAHA OMG I WANT 1HTC!!! I dropped my iPhone from my hand and he crashed :( haha https://t.co/ny4CbDut9R,negative
N349,I want that IPhone 6S :(,negative
N350,@Mr_Rato Buy me a phone dude. iphone yami inyile :(,negative
N351,Bye Iphone :(,negative
N352,everyone's getting the new iPhone :(,negative
